"CA Owner","Salesforce Record ID","Certificate Name","Parent Salesforce Record ID","Parent Certificate Name","Certificate Record Type","Revocation Status","SHA-256 Fingerprint","Parent SHA-256 Fingerprint","Audits Same as Parent?","Auditor","Standard Audit URL","Standard Audit Type","Standard Audit Statement Date","Standard Audit Period Start Date","Standard Audit Period End Date","BR Audit URL","BR Audit Type","BR Audit Statement Date","BR Audit Period Start Date","BR Audit Period End Date","EV SSL Audit URL","EV SSL Audit Type","EV SSL Audit Statement Date","EV SSL Audit Period Start Date","EV SSL Audit Period End Date","EV Code Signing Audit URL","EV Code Signing Audit Type","EV Code Signing Audit Statement Date","EV Code Signing Audit Period Start Date","EV Code Signing Audit Period End Date","CP/CPS Same as Parent?","Certificate Policy (CP) URL","Certificate Practice Statement (CPS) URL","CP/CPS Last Updated Date","Test Website URL - Valid","Test Website URL - Expired","Test Website URL - Revoked","Technically Constrained","Mozilla Status","Microsoft Status" 
"A-Trust","001o000000HshE1AAJ","A-Trust-nQual-03","001o000000HsfogAAB","A-Trust","Root Certificate","","793CBF4559B9FDE38AB22DF16869F69881AE14C4B0139AC788A78A1AFCCA02FB","","false","Ernst & Young, LLP","https://cert.webtrust.org/SealFile?seal=1932&file=pdf","WebTrust","2015.06.26","2015.06.26","2015.06.26","https://cert.webtrust.org/SealFile?seal=1934&file=pdf","WebTrust","2015.06.26","2015.06.26","2015.06.26","https://cert.webtrust.org/SealFile?seal=1933&file=pdf","WebTrust","2015.06.26","2015.06.26","2015.06.26","","","","","","false","https://www.a-trust.at/docs/cp","https://www.a-trust.at/docs/cps","","https://test1.a-trust.at/","","","false","Removed","Removed" 
"A-Trust","001o000000vmkrwAAA","A-Trust-nQual-03","001o000000HsfogAAB","A-Trust","Root Certificate","","8688E58F4C7A945FADCE7F62BFEF521B82DA7DC38BFDB0163478A5FE42E57870","","false","Ernst & Young, LLP","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","Not Yet Included","Included" 
"A-Trust","001o000000rGWg9AAG","A-Trust-Qual-02","001o000000HsfogAAB","A-Trust","Root Certificate","","F28630BABF256E567B5821069FCF13148AB9A23E28FC0D70615AAE6ED284F4C8","","false","Ernst & Young, LLP","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","Not Yet Included","Included" 
"A-Trust","001o000000rGWZ3AAO","A-Trust-Qual-03","001o000000HsfogAAB","A-Trust","Root Certificate","","6BAF50AE3467EFF3C35FEFDC76A02A97FAB6267723EDA91E99F1B3DC2B28F82E","","false","Ernst & Young, LLP","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","Not Yet Included","Included" 
"A-Trust","001o000000rGWXbAAO","A-Trust-Root-05","001o000000HsfogAAB","A-Trust","Root Certificate","","2DDE9D0C0A90E7B32B5ABC01F41799D42E95A1E3C31C3B39373BB8141EA54471","","false","Ernst & Young, LLP","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","Not Yet Included","Included" 
"AC Camerfirma, S.A.","001o000000HshEIAAZ","Chambers of Commerce Root","001o000000HsfokAAB","AC Camerfirma, S.A.","Root Certificate","","0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3","","false","Auren","https://www.cpacanada.ca/generichandlers/aptifyattachmenthandler.ashx?attachmentid=230425","WebTrust","2019.05.03","2018.04.14","2019.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995930","WebTrust","2018.07.14","2017.04.14","2018.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995931","WebTrust","2018.07.14","2017.04.14","2018.04.13","","","","","","false","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EIDAS_ES_1.2.10.pdf","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EIDAS_EN_1.2.10.pdf","2019.02.10","https://server1ok.camerfirma.com","https://server1.camerfirma.com","https://server1rv.camerfirma.com","false","Included","Included" 
"AC Camerfirma, S.A.","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","001o000000HsfokAAB","AC Camerfirma, S.A.","Root Certificate","","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","","false","Auren","https://www.cpacanada.ca/generichandlers/aptifyattachmenthandler.ashx?attachmentid=230425","WebTrust","2019.05.03","2018.04.14","2019.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=9072794","ETSI EN 319 411","2019.03.28","2018.05.08","2019.03.28","https://bugzilla.mozilla.org/attachment.cgi?id=9072794","ETSI EN 319 411","2019.03.28","2018.05.08","2019.03.28","","","","","","false","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EIDAS_ES_1.2.10.pdf","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EIDAS_EN_1.2.10.pdf","2019.02.10","https://server3ok.camerfirma.com","https://server3.camerfirma.com","https://server3rv.camerfirma.com","false","Included","Included" 
"AC Camerfirma, S.A.","001o000000xPOViAAO","CHAMBERS OF COMMERCE ROOT - 2016","001o000000HsfokAAB","AC Camerfirma, S.A.","Root Certificate","","04F1BEC36951BC1454A904CE32890C5DA3CDE1356B7900F6E62DFA2041EBAD51","","false","Auren","https://bugzilla.mozilla.org/attachment.cgi?id=8995928","WebTrust","2018.07.14","2017.04.14","2018.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995930","WebTrust","2018.07.14","2017.04.14","2018.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995931","WebTrust","2018.07.14","2017.04.14","2018.04.13","","","","","","false","http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_eidas_v_1_2_3.pdf","http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_eidas_EN_v_1_2_3.pdf","2018.03.28","https://cevok.camerfirma.com","https://cev.camerfirma.com","https://cevrv.camerfirma.com","false","Not Yet Included","Included" 
"AC Camerfirma, S.A.","001o000000HshF0AAJ","Global Chambersign Root","001o000000HsfokAAB","AC Camerfirma, S.A.","Root Certificate","","EF3CB417FC8EBF6F97876C9E4ECE39DE1EA5FE649141D1028B7D11C0B2298CED","","false","Auren","https://www.cpacanada.ca/generichandlers/aptifyattachmenthandler.ashx?attachmentid=230425","WebTrust","2019.05.03","2018.04.14","2019.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995930","WebTrust","2018.07.14","2017.04.14","2018.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995931","WebTrust","2018.07.14","2017.04.14","2018.04.13","","","","","","false","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EIDAS_ES_1.2.10.pdf","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EIDAS_EN_1.2.10.pdf","2019.02.10","https://server4ok.camerfirma.com","https://server4.camerfirma.com","https://server4rv.camerfirma.com","false","Included","Included" 
"AC Camerfirma, S.A.","001o000000HshF1AAJ","Global Chambersign Root - 2008","001o000000HsfokAAB","AC Camerfirma, S.A.","Root Certificate","","136335439334A7698016A0D324DE72284E079D7B5220BB8FBD747816EEBEBACA","","false","Auren","https://www.cpacanada.ca/generichandlers/aptifyattachmenthandler.ashx?attachmentid=230425","WebTrust","2019.05.03","2018.04.14","2019.04.13","https://www.cpacanada.ca/generichandlers/aptifyattachmenthandler.ashx?attachmentid=236204","WebTrust","2019.09.19","2018.04.14","2019.04.13","","","","","","","","","","","false","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CPS-ES-v3.3.5.pdf","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EN_3.3.4.pdf","2019.08.30","https://valid.ovcf.ca3.infocert.it","https://expired.ovcf.ca3.infocert.it","https://revoked.ovcf.ca3.infocert.it","false","Included","Included" 
"AC Camerfirma, S.A.","001o000000xPQbZAAW","GLOBAL CHAMBERSIGN ROOT - 2016","001o000000HsfokAAB","AC Camerfirma, S.A.","Root Certificate","","C1D80CE474A51128B77E794A98AA2D62A0225DA3F419E5C7ED73DFBF660E7109","","false","Auren","https://bugzilla.mozilla.org/attachment.cgi?id=8995928","WebTrust","2018.07.14","2017.04.14","2018.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995930","WebTrust","2018.07.14","2017.04.14","2018.04.13","https://bugzilla.mozilla.org/attachment.cgi?id=8995931","WebTrust","2018.07.14","2017.04.14","2018.04.13","","","","","","false","http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_eidas_v_1_2_3.pdf","http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_eidas_EN_v_1_2_3.pdf","2018.03.28","https://csevok.camerfirma.com","https://csev.camerfirma.com","https://csevrv.camerfirma.com","false","Not Yet Included","Included" 
"AC Camerfirma, S.A.","001o000000x4X37AAE","AC Camerfirma","001o000000HshF0AAJ","Global Chambersign Root","Intermediate Certificate","Not Revoked","EF3D7112DD3C3C46A3DC4D2E012921EAD83EFC915CA6DE3ACE72F391375BF06A","EF3CB417FC8EBF6F97876C9E4ECE39DE1EA5FE649141D1028B7D11C0B2298CED","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x4X3gAAE","AC Camerfirma - 2009","001o000000HshF1AAJ","Global Chambersign Root - 2008","Intermediate Certificate","Not Revoked","B68D5D9B4EA635957C0C3215C20D35B2217B69E349C7A304C4F97F20C4081F88","136335439334A7698016A0D324DE72284E079D7B5220BB8FBD747816EEBEBACA","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o0000016zMWSAA2","AC CAMERFIRMA - 2016","001o000000xPQbZAAW","GLOBAL CHAMBERSIGN ROOT - 2016","Intermediate Certificate","Revoked","371C57982CF543FBF9041EDC348A2E0ACDCDE4B6EC25EC242BAC84F01DAB181C","C1D80CE474A51128B77E794A98AA2D62A0225DA3F419E5C7ED73DFBF660E7109","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x3iyXAAQ","AC CAMERFIRMA AAPP","001o000000HshEIAAZ","Chambers of Commerce Root","Intermediate Certificate","Not Revoked","8390E70357E9B573CA3DD29DBDDC237ECAF936782CA3389C7943FBC2B7FAA0B6","0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x3iv4AAA","AC Camerfirma Certificados Camerales","001o000000HshEIAAZ","Chambers of Commerce Root","Intermediate Certificate","Not Revoked","C7D84381E11F7C5746771AF5B050DC51FC6FDAD6F6F35BB53A3DE913822EA09E","0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o0000016zMSXAA2","AC CAMERFIRMA CODESIGN - 2016","001o000000xPOViAAO","CHAMBERS OF COMMERCE ROOT - 2016","Intermediate Certificate","Revoked","4908F2337567BE505C26CC01A7F07C4B802132A095B2BAEEEE6DE20883088A56","04F1BEC36951BC1454A904CE32890C5DA3CDE1356B7900F6E62DFA2041EBAD51","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","true","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x58SMAAY","AC Camerfirma Codesign v2","001o000000HshEIAAZ","Chambers of Commerce Root","Intermediate Certificate","Revoked","9BC4F171FF9AA224F00C799E80490E31010E3475A08FE64DC9A9C4192EB0C0B1","0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","0011J00001CAQzfQAH","AC Camerfirma Colombia - 2014","001o000000HshF1AAJ","Global Chambersign Root - 2008","Intermediate Certificate","Revoked","5F372EE63531E1DD9651CC39FED4C07728FFD669032DBC21FD2EAC4AC619B15B","136335439334A7698016A0D324DE72284E079D7B5220BB8FBD747816EEBEBACA","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","0011J00001D6AeiQAF","AC CAMERFIRMA COLOMBIA - 2016","001o000000xPQbZAAW","GLOBAL CHAMBERSIGN ROOT - 2016","Intermediate Certificate","Not Revoked","82348E56FF765293EBE7E2A5B7B057F5C131C3BC68DBE7DB43531F40C76A3B2D","C1D80CE474A51128B77E794A98AA2D62A0225DA3F419E5C7ED73DFBF660E7109","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000z7cRwAAI","AC Camerfirma Colombia II - 2015","001o000000HshF1AAJ","Global Chambersign Root - 2008","Intermediate Certificate","Revoked","205118CE7265A03FA04A6601C0C450FCE8794D2FBD0BDA70665DE076832E3B68","136335439334A7698016A0D324DE72284E079D7B5220BB8FBD747816EEBEBACA","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x58SgAAI","AC Camerfirma Express Corporate Server","001o000000HshEIAAZ","Chambers of Commerce Root","Intermediate Certificate","Not Revoked","71987F75F4A18AF9097A45D5458D912C88359386066F63C6FC0A8AABE699C023","0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x58TAAAY","AC Camerfirma Express Corporate Server v3","001o000000HshEIAAZ","Chambers of Commerce Root","Intermediate Certificate","Revoked","F3A9741B867238875E0A3B5598A3BC911D87563AC6EA47CEF85032FF948BEA31","0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o0000016zMQEAA2","AC CAMERFIRMA FOR LEGAL PERSONS - 2016","001o000000xPOViAAO","CHAMBERS OF COMMERCE ROOT - 2016","Intermediate Certificate","Not Revoked","3A8066266D28BD28CCD0F564C8FBC1219B4FFAE403E01E5039D30F2400F0EB09","04F1BEC36951BC1454A904CE32890C5DA3CDE1356B7900F6E62DFA2041EBAD51","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o0000016zM3KAAU","AC CAMERFIRMA FOR NATURAL PERSONS - 2016","001o000000xPOViAAO","CHAMBERS OF COMMERCE ROOT - 2016","Intermediate Certificate","Not Revoked","EEDD457AF1353D76F48E7C6123F39140E5F9A069CA51B43EEA8615C9CEC0D4BB","04F1BEC36951BC1454A904CE32890C5DA3CDE1356B7900F6E62DFA2041EBAD51","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o0000016zMRfAAM","AC CAMERFIRMA FOR WEBSITES - 2016","001o000000xPOViAAO","CHAMBERS OF COMMERCE ROOT - 2016","Intermediate Certificate","Not Revoked","937D7D5D0B7FB7DB039399BC0B670CC203C7AB4E332FAE453CC38EC188DDEA2B","04F1BEC36951BC1454A904CE32890C5DA3CDE1356B7900F6E62DFA2041EBAD51","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o0000016zMZCAA2","AC CAMERFIRMA GLOBAL FOR LEGAL PERSONS - 2016","001o0000016zMWSAA2","AC CAMERFIRMA - 2016","Intermediate Certificate","Not Revoked","4D20C951E134893BC5901BFAF8E240A5BE7D00596DD31C40429252F2E04F8B46","371C57982CF543FBF9041EDC348A2E0ACDCDE4B6EC25EC242BAC84F01DAB181C","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o0000016zMb8AAE","AC CAMERFIRMA GLOBAL FOR NATURAL PERSONS - 2016","001o0000016zMWSAA2","AC CAMERFIRMA - 2016","Intermediate Certificate","Not Revoked","EF411C837AC3304185E53913FE369BF8FF6598C2A52BDB1B6E2DEAB5DCC7F06F","371C57982CF543FBF9041EDC348A2E0ACDCDE4B6EC25EC242BAC84F01DAB181C","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","0011J00001Db1BUQAZ","AC CAMERFIRMA GLOBAL FOR WEBSITES - 2016","001o0000016zMWSAA2","AC CAMERFIRMA - 2016","Intermediate Certificate","Not Revoked","99BDA6792DCAED7145BF9B7F466831051821AEF03216971176241AFC2123AB84","371C57982CF543FBF9041EDC348A2E0ACDCDE4B6EC25EC242BAC84F01DAB181C","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","0011J00001GTD4jQAH","AC CAMERFIRMA GLOBAL TSA - 2018","001o0000016zMWSAA2","AC CAMERFIRMA - 2016","Intermediate Certificate","Not Revoked","4F1B44D260FC885C925A02668E7B911F05580B7FFAE69F47C1E85958AADFA2F6","371C57982CF543FBF9041EDC348A2E0ACDCDE4B6EC25EC242BAC84F01DAB181C","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","true","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","0011J00001D6AexQAF","AC CAMERFIRMA PERÚ - 2016","001o000000xPQbZAAW","GLOBAL CHAMBERSIGN ROOT - 2016","Intermediate Certificate","Not Revoked","71A0214D43E5B3596DDB36AF8459E9E579AE929B800D94A9E3F671E9F431C4F3","C1D80CE474A51128B77E794A98AA2D62A0225DA3F419E5C7ED73DFBF660E7109","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","0011J00001D6Af2QAF","AC CAMERFIRMA PERÚ CERTIFICADOS - 2016","0011J00001D6AexQAF","AC CAMERFIRMA PERÚ - 2016","Intermediate Certificate","Not Revoked","5B4BFC749A8158DFD4EBF3DF20782B0C284928BC40E89728CFAEBFCA7F85033D","71A0214D43E5B3596DDB36AF8459E9E579AE929B800D94A9E3F671E9F431C4F3","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x4X5DAAU","AC Camerfirma Portugal - 2015","001o000000HshF1AAJ","Global Chambersign Root - 2008","Intermediate Certificate","Not Revoked","404E643D6EED3BFCFAFC49CC57D6E6BE4B6DE8297176C5190F15E0A5EF11FE97","136335439334A7698016A0D324DE72284E079D7B5220BB8FBD747816EEBEBACA","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o0000016zMT8AAM","AC CAMERFIRMA TSA - 2016","001o000000xPOViAAO","CHAMBERS OF COMMERCE ROOT - 2016","Intermediate Certificate","Not Revoked","BAAE2C6338857D50200F6F73DD45E65AA2D895BED4675B6E396B7222E018A9B8","04F1BEC36951BC1454A904CE32890C5DA3CDE1356B7900F6E62DFA2041EBAD51","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","true","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x58TZAAY","AC Camerfirma TSA CA","001o000000HshEIAAZ","Chambers of Commerce Root","Intermediate Certificate","Revoked","BEA3BCAC537113187D05BD3924408F60005D8508DFF48328BC06E79A14B8E49A","0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","0011J00001D6AesQAF","AC CITISEG - 2016","0011J00001D6AeiQAF","AC CAMERFIRMA COLOMBIA - 2016","Intermediate Certificate","Not Revoked","2311977010FFEBB1BC2EAF2148188ACAFDF29B3719C249BD91270AD679FFFC11","82348E56FF765293EBE7E2A5B7B057F5C131C3BC68DBE7DB43531F40C76A3B2D","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x58TtAAI","CA Camerfirma Codesign","001o000000HshEIAAZ","Chambers of Commerce Root","Intermediate Certificate","Revoked","DF8307254EE1E3D1379007E2A230D671D952DEFF2409AF202ADCDF8DC4A48B08","0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x58U8AAI","CA Camerfirma Express Corporate Server","001o000000HshEIAAZ","Chambers of Commerce Root","Intermediate Certificate","Revoked","8948D65A91A81B8D8D79D7603B42FBA68A690567F0456488339BF4D0937BDAF4","0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x58REAAY","Camerfirma AAPP - 2012","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","Intermediate Certificate","Revoked","37D89387A11F95D0B8DAACAD0A218B28A61BB0F33C5F1370ACD525A12365A007","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","0011J00001CAQzaQAH","Camerfirma AAPP - 2014","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","Intermediate Certificate","Revoked","797F74714F6F7C307A417B9425DEB70D8B28A850CAB43BA89F9D3D0AB5B4909F","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x4WxOAAU","Camerfirma AAPP II - 2014","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","Intermediate Certificate","Not Revoked","7239D2F770FAFF3B1CF8BE2A05EC03EDEAAC053B554F90D36921155BA8051981","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x58ROAAY","Camerfirma Certificados Camerales - 2009","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","Intermediate Certificate","Revoked","2F2B32E78FC69D2FFC645EB6068E074E749774495FDC251093B0EEE04EFAFD17","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x58RiAAI","Camerfirma Codesign - 2009","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","Intermediate Certificate","Revoked","BE4AF4EC65DA6F629C651D9F8F13941D20F8F897E45012238DC848DF44D8141D","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","0011J00001D6AWKQA3","Camerfirma Codesign II - 2014","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","Intermediate Certificate","Not Revoked","3B0B2D299AF774D6C332B2BFABB45F44D866432B9552EA094D529B6ED125048B","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","true","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x58RsAAI","Camerfirma Corporate Server - 2009","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","Intermediate Certificate","Revoked","F1F49E9AF76624F6EE3F8B0B4043DA25EDFF85B26A70785FC2933891F821CF81","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x4X03AAE","Camerfirma Corporate Server II - 2015","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","Intermediate Certificate","Not Revoked","66EAE2709B54CDD1693177B1332FF036CDD0F723DB3039ED311555A6CBF5FF3E","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","true","","","","","","","","","","","","","","","","","","","","","","false","","https://www.camerfirma.com/publico/DocumentosWeb/politicas/CAMERFIRMA_CPS_EIDAS_EN_1.2.10.pdf","2019.02.28","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000z7bEFAAY","Camerfirma TSA - 2009","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","Intermediate Certificate","Revoked","4C2512B5DBC0D354C7214250B8256D4BFB608941969B8D89C4215021E0B2B905","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x58S2AAI","Camerfirma TSA - 2013","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","Intermediate Certificate","Not Revoked","AB49C64AC5D27F9B3688CA80AA38927F1C37CD165964140863F34327CE05022C","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","0011J00001Db1AqQAJ","Camerfirma TSA II - 2014","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","Intermediate Certificate","Not Revoked","65695D500117FD7270F1027ED121F05942670075461D337EEEC7F6A5B757A47A","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","true","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","0011J000018KF59QAG","Chambers of Commerce Root - 2008","001o000000HshEJAAZ","Chambers of Commerce Root - 2008","Intermediate Certificate","Not Revoked","3666F8049140FDC0A65E809B281A3BE3B10DAFEEFD76B9DDC272A93E83CA5B99","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","0011J00001D6AXhQAN","DigitalSign CA","001o000000x4X5XAAU","DigitalSign Primary CA","Intermediate Certificate","Not Revoked","9AB25C1E795C85A321419D3062F84B52132BAA8F718843A83E31FBF99FEDC3D7","8101C3BAF9D0EDD71180D1F37D6D75B77B0E8CFB593D342C3A31E467985D4A74","false","CSQA Certificazioni srl","https://www.camerfirma.com/publico/RVETSP_SA12018oct_EN_DigitalSign_04FINAL.PDF","ETSI EN 319 411","2018.10.12","2018.10.10","2018.10.12","","","","","","","","","","","","","","","","false","","https://www.digitalsign.pt/repository/media/files/Repository/digitalsign_cps.pdf","2019.02.01","","","","false","Provided by CA","Not Included" 
"AC Camerfirma, S.A.","001o000000x4X5XAAU","DigitalSign Primary CA","001o000000x4X5DAAU","AC Camerfirma Portugal - 2015","Intermediate Certificate","Not Revoked","8101C3BAF9D0EDD71180D1F37D6D75B77B0E8CFB593D342C3A31E467985D4A74","404E643D6EED3BFCFAFC49CC57D6E6BE4B6DE8297176C5190F15E0A5EF11FE97","true","","","","","","","","","","","","","","","","","","","","","","true","","","","","","","false","Provided by CA","Not Included" 
