"CA Owner","Salesforce Record ID","Certificate Name","Parent Salesforce Record ID","Parent Certificate Name","Certificate Record Type","Revocation Status","SHA-256 Fingerprint","Parent SHA-256 Fingerprint","Audits Same as Parent?","Auditor","Standard Audit URL","Standard Audit Type","Standard Audit Statement Date","Standard Audit Period Start Date","Standard Audit Period End Date","BR Audit URL","BR Audit Type","BR Audit Statement Date","BR Audit Period Start Date","BR Audit Period End Date","EV SSL Audit URL","EV SSL Audit Type","EV SSL Audit Statement Date","EV SSL Audit Period Start Date","EV SSL Audit Period End Date","EV Code Signing Audit URL","EV Code Signing Audit Type","EV Code Signing Audit Statement Date","EV Code Signing Audit Period Start Date","EV Code Signing Audit Period End Date","CP/CPS Same as Parent?","Certificate Policy (CP) URL","Certificate Practice Statement (CPS) URL","CP/CPS Last Updated Date","Test Website URL - Valid","Test Website URL - Expired","Test Website URL - Revoked","Technically Constrained","Mozilla Status","Microsoft Status","Subordinate CA Owner"
"Skaitmeninio sertifikavimo centras (SSC)","0011J000018MwOAQA0","SSC GDL CA VS Root","001o000000HsrwEAAR","Skaitmeninio sertifikavimo centras (SSC)","Root Certificate","","BC2ABBC49A6814370D17E471141C22794311C4DDDF2567BE37283A894392E5D3","","false","","https://bug1378993.bmoattachments.org/attachment.cgi?id=8884085","Equivalent ETSI 101 456","2017.06.12","2017.06.12","2017.06.12","https://bug1378993.bmoattachments.org/attachment.cgi?id=8884086","Equivalent ETSI 102 042","2017.06.12","2017.06.12","2017.06.12","","","","","","","","","","","false","https://bugzilla.mozilla.org/attachment.cgi?id=8902029","https://bugzilla.mozilla.org/attachment.cgi?id=8902030","2017.04.29","","","","false","Not Yet Included","Included",""
"SSL.com","001o000000wh8IFAAY","SSL.com EV Root Certification Authority ECC","001o000000pqbLlAAI","SSL.com","Root Certificate","","22A2C1F7BDED704CC1E701B5F408C310880FE956B5DE2A4A44F99C873A25A7C8","","false","BDO International Limited","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233834","WebTrust","2019.08.10","2018.07.01","2019.06.30","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233835","WebTrust","2019.08.10","2018.07.01","2019.06.30","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233836","WebTrust","2019.08.10","2018.07.01","2019.06.30","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233837","WebTrust","2019.08.10","2018.07.01","2019.06.30","false","https://www.ssl.com/app/uploads/2019/06/SSLcom_CP_CPS_Version_1_6.pdf","https://www.ssl.com/app/uploads/2019/06/SSLcom_CP_CPS_Version_1_6.pdf","2019.05.20","https://test-ev-ecc.ssl.com/","https://expired-ecc-ev.ssl.com","https://revoked-ecc-ev.ssl.com","false","Included","Included",""
"SSL.com","001o000000wh8LYAAY","SSL.com EV Root Certification Authority RSA","001o000000pqbLlAAI","SSL.com","Root Certificate","","5ADFA25013BED3710831572DE51C4B9A21171C00313249C4CB4719D37FBB8D20","","false","BDO International Limited","https://bugzilla.mozilla.org/attachment.cgi?id=8834602","WebTrust","2017.01.20","2016.09.20","2016.11.20","https://bugzilla.mozilla.org/attachment.cgi?id=8834601","WebTrust","2017.01.20","2016.09.20","2016.11.20","https://bugzilla.mozilla.org/attachment.cgi?id=8834599","WebTrust","2017.01.20","2016.09.20","2016.11.20","","","","","","false","https://www.ssl.com/app/uploads/2018/01/SSLcom_CP_CPS_Version_1_3.pdf","https://www.ssl.com/app/uploads/2018/01/SSLcom_CP_CPS_Version_1_3.pdf","2017.12.28","","","","false","Not Yet Included","NotBefore",""
"SSL.com","0011J000018LItcQAG","SSL.com EV Root Certification Authority RSA R2","001o000000pqbLlAAI","SSL.com","Root Certificate","","2E7BF16CC22485A7BBE2AA8696750761B0AE39BE3B2FE9D0CC6D4EF73491425C","","false","BDO International Limited","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233834","WebTrust","2019.08.10","2018.07.01","2019.06.30","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233835","WebTrust","2019.08.10","2018.07.01","2019.06.30","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233836","WebTrust","2019.08.10","2018.07.01","2019.06.30","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233837","WebTrust","2019.08.10","2018.07.01","2019.06.30","false","https://www.ssl.com/app/uploads/2019/06/SSLcom_CP_CPS_Version_1_6.pdf","https://www.ssl.com/app/uploads/2019/06/SSLcom_CP_CPS_Version_1_6.pdf","2019.05.20","https://test-ev-rsa.ssl.com","https://expired-rsa-ev.ssl.com","https://revoked-rsa-ev.ssl.com/","false","Included","Included",""
"SSL.com","001o000000wh8U2AAI","SSL.com Root Certification Authority ECC","001o000000pqbLlAAI","SSL.com","Root Certificate","","3417BB06CC6007DA1B961C920B8AB4CE3FAD820E4AA30B9ACBC4A74EBDCEBC65","","false","BDO International Limited","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233834","WebTrust","2019.08.10","2018.07.01","2019.06.30","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233835","WebTrust","2019.08.10","2018.07.01","2019.06.30","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233836","WebTrust","2019.08.10","2018.07.01","2019.06.30","","","","","","false","https://www.ssl.com/app/uploads/2019/06/SSLcom_CP_CPS_Version_1_6.pdf","https://www.ssl.com/app/uploads/2019/06/SSLcom_CP_CPS_Version_1_6.pdf","2019.05.20","https://test-dv-ecc.ssl.com","https://expired-ecc-dv.ssl.com","https://revoked-ecc-dv.ssl.com","false","Included","Included",""
"SSL.com","001o000000wh8bhAAA","SSL.com Root Certification Authority RSA","001o000000pqbLlAAI","SSL.com","Root Certificate","","85666A562EE0BE5CE925C1D8890A6F76A87EC16D4D7D5F29EA7419CF20123B69","","false","BDO International Limited","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233834","WebTrust","2019.08.10","2018.07.01","2019.06.30","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233835","WebTrust","2019.08.10","2018.07.01","2019.06.30","https://www.cpacanada.ca/generichandlers/CPACHandler.ashx?attachmentid=233836","WebTrust","2019.08.10","2018.07.01","2019.06.30","","","","","","false","https://www.ssl.com/app/uploads/2019/06/SSLcom_CP_CPS_Version_1_6.pdf","https://www.ssl.com/app/uploads/2019/06/SSLcom_CP_CPS_Version_1_6.pdf","2019.05.20","https://test-dv-rsa.ssl.com","https://expired-rsa-dv.ssl.com","https://revoked-rsa-dv.ssl.com","false","Included","Included",""
"Swiss BIT, Swiss Federal Office of Information Technology, Systems and Telecommunication (FOITT)","001o000000rGWdtAAG","Swiss Government Root CA I","001o000000HsrwHAAR","Swiss BIT, Swiss Federal Office of Information Technology, Systems and Telecommunication (FOITT)","Root Certificate","","6EC6614E9A8EFD47D6318FFDFD0BF65B493A141F77C38D0B319BE1BBBC053DD2","","false","KPMG","https://bugzilla.mozilla.org/attachment.cgi?id=8834579","ETSI TS 102 042","2017.01.25","2016.01.01","2016.12.31","https://bugzilla.mozilla.org/attachment.cgi?id=8834579","ETSI TS 102 042","2017.01.25","2016.01.01","2016.12.31","","","","","","","","","","","false","","","","","","","false","Not Yet Included","Included",""
"Swiss BIT, Swiss Federal Office of Information Technology, Systems and Telecommunication (FOITT)","001o000000rGWfkAAG","Swiss Government Root CA II","001o000000HsrwHAAR","Swiss BIT, Swiss Federal Office of Information Technology, Systems and Telecommunication (FOITT)","Root Certificate","","A3D7435A18C46B23B6A4F8929CD59050C9168B03A7FAD532626F297CAC5356E4","","false","KPMG","https://bugzilla.mozilla.org/attachment.cgi?id=8834579","ETSI TS 102 042","2017.01.27","2016.01.01","2016.12.31","https://bugzilla.mozilla.org/attachment.cgi?id=8834579","ETSI TS 102 042","2017.01.27","2016.01.01","2016.12.31","","","","","","","","","","","false","","","","","","","false","Not Yet Included","Included",""
"Swiss BIT, Swiss Federal Office of Information Technology, Systems and Telecommunication (FOITT)","001o0000013laTHAAY","Swiss Government Root CA III","001o000000HsrwHAAR","Swiss BIT, Swiss Federal Office of Information Technology, Systems and Telecommunication (FOITT)","Root Certificate","","958ABBAEFF760F4FBF66FF0F2C2708F4739B2C686127239A2C4EC87A68A984C8","","false","KPMG","https://bugzilla.mozilla.org/attachment.cgi?id=8834579","ETSI TS 102 042","2017.01.25","2016.01.01","2016.12.31","https://bugzilla.mozilla.org/attachment.cgi?id=8834579","ETSI TS 102 042","2017.01.25","2016.01.01","2016.12.31","https://bugzilla.mozilla.org/attachment.cgi?id=8834579","ETSI TS 102 042","2017.01.25","2016.01.01","2016.12.31","https://bugzilla.mozilla.org/attachment.cgi?id=8834579","ETSI TS 102 042","2017.01.25","2016.01.01","2016.12.31","false","http://www.pki.admin.ch/cps/CPS_2_16_756_1_17_3_61_0.pdf","http://www.pki.admin.ch/cps/CPS_2_16_756_1_17_3_61_0.pdf","","https://www.valid-ov.pki.admin.ch/","","","false","Not Yet Included","Included",""
"Swisscom (Switzerland) Ltd","001o000000HshFsAAJ","Swisscom Root CA 2","001o000000HsfpNAAR","Swisscom (Switzerland) Ltd","Root Certificate","","F09B122C7114F4A09BD4EA4F4A99D558B46E4C25CD81140D29C05613914C3841","","false","KPMG","https://bugzilla.mozilla.org/attachment.cgi?id=8985611","ETSI EN 319 411","2018.06.15","2017.04.01","2018.03.31","","","","","","","","","","","","","","","","false","https://bugzilla.mozilla.org/attachment.cgi?id=8985888
https://bugzilla.mozilla.org/attachment.cgi?id=8985889","https://bugzilla.mozilla.org/attachment.cgi?id=8985888
https://bugzilla.mozilla.org/attachment.cgi?id=8985889","2018.04.18","","","","false","Removed","NotBefore",""
